pit: -1.44, rol: -1.11, yaw: -12.25, acc_x: 992, acc_y: 932, acc_z: 15504, gyr_x: -82, gyr_y: 116, gyr_z: -49, temp: 1320
pit: -3.25, rol: -0.80, yaw: -13.66, acc_x: 2030, acc_y: 2248, acc_z: 12100, gyr_x: 65, gyr_y: -343, gyr_z: -300, temp: 1320
pit: -4.00, rol: -0.65, yaw: -14.98, acc_x: 1054, acc_y: 2956, acc_z: 13962, gyr_x: 63, gyr_y: -63, gyr_z: -46, temp: 1317
pit: -4.37, rol: 0.30, yaw: -15.54, acc_x: 1174, acc_y: 3018, acc_z: 14254, gyr_x: -50, gyr_y: 163, gyr_z: 26, temp: 1317
pit: -2.36, rol: -0.34, yaw: -15.58, acc_x: -1952, acc_y: 1828, acc_z: 18748, gyr_x: -463, gyr_y: 460, gyr_z: -116, temp: 1317
pit: -2.81, rol: -0.69, yaw: -15.68, acc_x: -160, acc_y: 2914, acc_z: 12890, gyr_x: -65, gyr_y: -512, gyr_z: -158, temp: 1317
pit: -2.08, rol: -2.12, yaw: -15.70, acc_x: 574, acc_y: 610, acc_z: 13572, gyr_x: 132, gyr_y: 77, gyr_z: -13, temp: 1316
pit: -4.33, rol: -1.32, yaw: -17.20, acc_x: 1306, acc_y: 1894, acc_z: 12242, gyr_x: 23, gyr_y: -65, gyr_z: -301, temp: 1316
pit: -4.56, rol: -1.02, yaw: -19.42, acc_x: 250, acc_y: 1766, acc_z: 14288, gyr_x: -92, gyr_y: -74, gyr_z: -499, temp: 1319
pit: -4.65, rol: -0.17, yaw: -21.89, acc_x: -828, acc_y: 2290, acc_z: 16796, gyr_x: 1, gyr_y: 283, gyr_z: -340, temp: 1316
pit: -2.84, rol: -0.13, yaw: -23.00, acc_x: 532, acc_y: 1974, acc_z: 15640, gyr_x: -322, gyr_y: 584, gyr_z: -67, temp: 1314
pit: -2.21, rol: -0.38, yaw: -24.26, acc_x: 906, acc_y: 1954, acc_z: 12060, gyr_x: -175, gyr_y: -62, gyr_z: -577, temp: 1315
pit: -0.78, rol: -1.63, yaw: -25.76, acc_x: -142, acc_y: 1566, acc_z: 13372, gyr_x: -90, gyr_y: -273, gyr_z: -208, temp: 1314
pit: -1.94, rol: -1.39, yaw: -26.38, acc_x: 2220, acc_y: 1564, acc_z: 12054, gyr_x: -31, gyr_y: -58, gyr_z: -187, temp: 1314
